Year,Female_excess_aamr,Male_excess_aamr,Female_mrr,Male_mrr
1999,42.81709181689001,130.80846454124503,1.2081448728109863,1.4463049162661794
2000,37.932501644788005,128.00692451605596,1.1841653063939792,1.442137142066205
2001,38.95217281371902,118.66540652916598,1.1920805375249404,1.4177262662565566
2002,38.18696732128001,110.842661373196,1.1898343191513945,1.3949712571898043
2003,37.08276646822199,103.69819864822801,1.1869957154600408,1.3776849284410893
2004,34.21380262846699,99.725482366915,1.175502767787506,1.3724214835750808
2005,33.33172774573498,92.65203913973704,1.1728984148624892,1.3492937719865712
2006,30.875188066909004,87.56961708942299,1.1615277304084546,1.3364026827962132
2007,33.165456130495016,84.54989244896197,1.1765571460023199,1.3307545129396001
2008,29.191875633313998,78.189968215226,1.1584274712412213,1.3107663045586706
2009,28.72926507727999,78.03094076208802,1.1574703092058225,1.3161175320646668
2010,29.72436803234001,76.33236160454402,1.1650633848565795,1.3122997670847263
2011,32.47202031013401,68.19484371996,1.1838000699557094,1.2848983626963566
2012,29.847474438675988,65.80347472376602,1.1709887072123728,1.2797314994484994
2013,28.436980534236,62.731311303284,1.1654227173103193,1.2727004142457308
2014,26.993907145408997,56.64509063545202,1.1584099987313925,1.2492661038670672
2015,25.16539701105802,52.72930608298998,1.150487019250972,1.2364661525550875
2016,26.907239197579003,51.861342768957,1.163265701844101,1.2382633554084301
2017,25.205574217403978,50.725888951955994,1.1561131672323426,1.238630252535107
2018,24.902047452915014,47.849606505102,1.1578587938867855,1.2311933360995082
2019,25.29296954896401,46.025658214174,1.164362395324834,1.227239557552557
2020,22.200563620498997,42.203684338491,1.145566038360825,1.2110324425623544
2021,18.45651401120702,37.14713201921299,1.1198221527229444,1.1877195536522096
2022,17.982115778462003,38.469625156039,1.1183120697960838,1.198436471765761
