Gender,Year,excess_deaths_black
Female,2000,7446.663927013843
Female,2001,7308.117097784885
Female,2002,7194.425686612098
Female,2003,6784.5496123026305
Female,2004,6615.734871114103
Female,2005,6404.67279365115
Female,2006,6019.312838069958
Female,2007,5791.014511640486
Female,2008,5434.7474102179585
Female,2009,5334.270350872291
Female,2010,5105.4490183222515
Female,2011,4933.610412717543
Female,2012,4645.842445256062
Female,2013,4968.866207355868
Female,2014,4735.199742488606
Female,2015,4593.147336519035
Female,2016,5187.813724283471
Female,2017,4753.204066640861
Female,2018,4985.899318525016
Female,2019,4832.42044096965
Female,2020,6377.612963465129
Female,2021,5653.4271812441275
Female,2022,4832.355584354279
Male,2000,5480.1012080154005
Male,2001,5886.191489839163
Male,2002,5645.122105473116
Male,2003,6172.039912844633
Male,2004,5608.92660445615
Male,2005,5776.427777133689
Male,2006,5960.718443635035
Male,2007,5540.556826129049
Male,2008,5156.579108438032
Male,2009,5145.264219191027
Male,2010,4747.276210214303
Male,2011,4692.121133400313
Male,2012,4854.148467826843
Male,2013,4763.661902905684
Male,2014,4619.858994723717
Male,2015,4759.613717427337
Male,2016,5093.391997640469
Male,2017,5320.464519610601
Male,2018,5629.224418157008
Male,2019,5369.527051308305
Male,2020,7533.546370365342
Male,2021,7028.915043339349
Male,2022,6605.110963695675
