Year,Female_excess_aamr,Male_excess_aamr,Female_mrr,Male_mrr
2000,72.720163653243,69.51637788238,1.6148075491281115,1.2821898031448808
2001,69.43287100013102,73.35983322095603,1.6142874418498734,1.3150064556241787
2002,66.99216956207701,68.270444166669,1.6202690253441108,1.3029378910040519
2003,61.46260170940701,74.61778514086097,1.5971655962441502,1.3486498338270623
2004,58.64744599934541,63.924868789974,1.6154121732562154,1.3217531341264672
2005,55.431652800341595,64.54798349829102,1.6074881924850941,1.3391716445124782
2006,50.76820276901891,66.105807086628,1.595740465090878,1.3655636056259246
2007,47.765899107030705,58.505035834218006,1.6013061206889871,1.344120120568428
2008,43.13468489826329,53.915734372054004,1.552032621142221,1.325638458843756
2009,41.863074507152504,50.82775098164498,1.5761348559260464,1.3238997052488075
2010,39.247765765138595,46.91016464982698,1.5666969482933508,1.3078818711799094
2011,36.696357933706,43.58945193876002,1.5497867475143225,1.2952063462728547
2012,33.2588469378113,43.644201644093016,1.5118445275509091,1.3054551427154952
2013,34.721849255098505,40.960036575939,1.5553775933771217,1.2908091655486564
2014,32.217741361737104,38.652994943398,1.5275329224688619,1.2806443962550862
2015,29.856072276471203,38.68056577632598,1.4896189517581415,1.2858790165668994
2016,32.99456441561689,39.86125339607,1.5614983646252298,1.2977645964687152
2017,29.314337193211003,39.71430721323,1.5092339928511964,1.2997217421378426
2018,29.6870927347925,41.771807734221,1.527059020009238,1.3207604199534848
2019,28.157251771159302,38.12227976448199,1.5177060177977992,1.3014170940599
2020,36.6228659875282,53.91838244329401,1.652695161258488,1.4094013392627536
2021,31.815048386939402,46.53704911988302,1.5513859358860802,1.3520603167066625
2022,26.742894187126694,44.05217860738199,1.4788164817162213,1.3455447976846835
