Year,black_Female,white_Female,black_Male,white_Male
2000,191.001345718055,118.281182064812,315.862550237478,246.346172355098
2001,182.462808240977,113.029937240846,306.243419925854,232.883586704898
2002,174.997191294238,108.005021732161,293.631635995115,225.361191828446
2003,164.386484290677,102.92388258126999,288.637061507053,214.019276366192
2004,153.94527816447,95.2978321651246,262.601624382502,198.676755592528
2005,146.678945317392,91.2472925170504,254.858655226382,190.310671728091
2006,135.986860462977,85.2186576939581,246.938379228049,180.832572141421
2007,127.202807303308,79.4369081962773,228.518447829941,170.013411995723
2008,121.272612343588,78.1379274453247,219.485042627266,165.569308255212
2009,114.525011337661,72.6619368305085,207.752101816114,156.924350834469
2010,108.504827909793,69.2570621446544,199.274331042772,152.364166392945
2011,103.442888474168,66.746530540462,191.247022614666,147.657570675906
2012,98.2372635225296,64.9784165847183,186.526725264734,142.882523620641
2013,97.2412048595676,62.5193556044691,181.808542841763,140.848506265824
2014,93.2902166320152,61.0724752702781,176.382432834134,137.729437890736
2015,90.8342516734552,60.978179396984,173.984535409488,135.303969633162
2016,91.7562037974858,58.7616393818689,173.729597278443,133.868343882373
2017,86.8798917412888,57.5655545480778,172.218232120237,132.503924907007
2018,86.0130289350157,56.3259362002232,171.999245833593,130.227438099372
2019,82.5457479507743,54.388496179615,164.59911374559,126.476833981108
2020,92.7390669846446,56.1102152449149,185.618934621237,131.700552177943
2021,89.5281823919816,57.705472067239,178.71605531054,132.183249878459
2022,82.5815405613598,55.8488146872603,171.532556485029,127.484569106303
