Year,black_Female,white_Female,black_Male,white_Male
2000,17.7027178635267,11.8803607268961,22.3778778264776,16.0924594042988
2001,17.5991476656335,11.9507019359425,23.6201594913148,15.9924659707011
2002,17.4108498070692,11.6185403123336,23.3526892053155,15.3700010708198
2003,17.6631520260296,11.5579187103426,22.7499162678075,15.34319621713
2004,16.5991356657442,11.471864620913,22.5850674958309,14.9597148187036
2005,17.8680651717824,11.5319929457098,23.9683670345717,14.76974940284
2006,16.7700045467597,11.5324187372525,23.0205319975703,15.1184704438113
2007,16.0972980338294,10.4650970877132,22.615738601952,14.0135880245191
2008,15.5408580899183,9.87812683018962,22.9446314225171,13.5861984427863
2009,14.7406814050888,9.67546806179543,21.3030954735339,13.5647515807995
2010,14.6857870761265,9.65649609709352,21.9051899903328,13.6699767567305
2011,14.5910866041215,9.62825976802199,20.8222550513713,13.2334092509536
2012,14.5218183067922,9.43601709641035,22.0774378478153,13.6376423466325
2013,16.176886017212,10.0429345643918,23.8144209890454,14.4448825480112
2014,16.6516966993727,10.3748567754988,24.5633558154979,15.1375976814643
2015,17.3326697316871,11.0744888821937,27.3397839856429,16.3758945161643
2016,19.2502472019158,11.1689824808539,27.1227116552558,16.9877611574988
2017,19.2058910423143,11.3112166748232,28.7452959717666,16.9002962188119
2018,19.393538611345,11.4229404792165,30.0143601414757,17.3623002955401
2019,19.9462513698215,11.6426998289657,31.1117211343025,17.5847539002525
2020,20.594774744836,11.5587740990215,33.2470190389255,17.9056160768073
2021,20.5234655261956,12.5415158889848,31.3026326227253,18.2982070681886
2022,20.1038844646295,12.1982288978421,32.2239085461006,18.1295488751988
