Gender,Year,excess_deaths_black
Female,2000,590.9031996699999
Female,2001,601.0777529176512
Female,2002,618.2701522929915
Female,2003,675.521974452419
Female,2004,586.0314199557126
Female,2005,725.8093277905222
Female,2006,638.8400470077561
Female,2007,683.9493137560214
Female,2008,704.0593045722488
Female,2009,659.2939313126332
Female,2010,651.9018009582104
Female,2011,665.9331847627287
Female,2012,718.1548772219802
Female,2013,871.1523507508879
Female,2014,936.2511666541769
Female,2015,955.2679041295421
Female,2016,1248.2270069204976
Female,2017,1273.642100422224
Female,2018,1322.855288355813
Female,2019,1403.4742693139497
Female,2020,1593.1279979545282
Female,2021,1423.4916922582404
Female,2022,1433.4025474297619
Male,2000,480.239989619658
Male,2001,585.0461027306606
Male,2002,646.9856799462245
Male,2003,645.8231152234315
Male,2004,672.6188036832308
Male,2005,814.860394817446
Male,2006,751.1021524638076
Male,2007,823.4979512665864
Male,2008,891.6773973027063
Male,2009,820.70826468247
Male,2010,840.1968613042669
Male,2011,811.9586809287233
Male,2012,941.3165834659795
Male,2013,1073.0395862950415
Male,2014,1104.0565779677231
Male,2015,1329.194943882242
Male,2016,1319.7942773374646
Male,2017,1507.5352426012753
Male,2018,1649.6499783820168
Male,2019,1838.3358455816283
Male,2020,2155.971196386092
Male,2021,1885.8271691224488
Male,2022,2040.7416115424116
