Gender,Year,excess_deaths_black
Female,2000,3309.003153089772
Female,2001,3265.823392576358
Female,2002,3459.7209210561377
Female,2003,3692.617373582544
Female,2004,3579.5653605159923
Female,2005,3492.9926805497453
Female,2006,3372.8332870284876
Female,2007,3320.1868422783327
Female,2008,3650.0840417213803
Female,2009,3570.3560693999943
Female,2010,3470.3747625369188
Female,2011,3281.6172506280113
Female,2012,3427.23807259594
Female,2013,3529.6983250692733
Female,2014,3553.4201771357625
Female,2015,3674.019768413863
Female,2016,3672.469393167488
Female,2017,3780.6282179613245
Female,2018,3847.2183580300016
Female,2019,3913.2694078384898
Female,2020,5105.25372256207
Female,2021,4801.336844766378
Female,2022,4261.552512070928
Male,2000,3217.2910598923263
Male,2001,3372.7598225198362
Male,2002,3606.4235147108157
Male,2003,3805.099167306983
Male,2004,3907.834532265171
Male,2005,4006.8133719437324
Male,2006,4059.078398790497
Male,2007,4001.1792359117057
Male,2008,4113.949052896137
Male,2009,4256.393973809825
Male,2010,4241.753830250425
Male,2011,4163.637709226555
Male,2012,4466.268320415934
Male,2013,4590.7003867818075
Male,2014,4565.09799154256
Male,2015,4681.044574157786
Male,2016,5060.111068175869
Male,2017,4978.02822006937
Male,2018,5366.286159108235
Male,2019,5410.939462107306
Male,2020,7078.8775236667425
Male,2021,6865.833593734032
Male,2022,6250.513161027058
