Year,black_Female,white_Female,black_Male,white_Male
2000,41.7330932255225,9.55936593094697,54.6230044416138,12.4431349345875
2001,40.6364554013878,9.88265953679968,55.090690987002,12.7048710116111
2002,42.1313908222607,10.1997794219695,57.7764790761504,13.5685336515912
2003,43.8474719960199,10.8175477784594,59.250713184345,14.4831048023295
2004,42.0249812254611,10.6459610569811,59.8500862326743,14.7755003982407
2005,40.8153345741785,10.8019646645646,60.067458867629,14.9420655629082
2006,38.581014431062,10.4604912583502,59.7159800786177,14.9798886004167
2007,37.4935990337566,10.4125246140397,57.2920359692392,14.9865881048215
2008,39.7375134667621,10.7397216573484,58.4674315830543,15.8689108010055
2009,38.4266254723487,10.757856498716,58.3628757596639,16.1073488564519
2010,37.1742393144157,10.8275873079025,57.5732489698678,16.1342808402987
2011,35.0325083686922,10.922743292885,55.4560113170783,16.6218490870609
2012,35.6164529744816,10.9644991474647,57.7603258759307,16.8753994050266
2013,36.3407032029929,11.6356131689055,59.3851189420335,17.9551024770895
2014,35.9871994857563,11.7962890004923,58.2367079672417,18.6873695273709
2015,36.9749252622508,12.5880303896852,59.2250801902483,19.5526115260713
2016,36.9686943179501,13.0892639844427,62.6570790568136,20.5358532867112
2017,37.5182727595785,13.771014434986,60.7655456758298,21.77532429649
2018,37.6206362478217,14.1377252839139,64.2925242523224,22.7541119199654
2019,38.4079682374319,14.8969989567403,65.0416648473049,24.1960920862599
2020,46.8280131693389,17.1456972644808,79.5220665598268,27.5000087163881
2021,46.0831237557157,18.4420369243309,78.021996721467,29.3920056153754
2022,43.5210963521808,19.4539526511861,74.1201462403464,30.3581830884217
