Gender,Year,excess_deaths_black
Female,2000,3174.1699771652343
Female,2001,3294.9774665073815
Female,2002,3243.3674580726047
Female,2003,3348.898723931688
Female,2004,3255.9621502682794
Female,2005,3083.216736794434
Female,2006,2985.794073534636
Female,2007,2930.4041777879834
Female,2008,2957.1866675268834
Female,2009,2700.35853028278
Female,2010,2694.332725339849
Female,2011,2496.7305514967297
Female,2012,2476.6255893979496
Female,2013,2604.5671643131222
Female,2014,2639.842322786477
Female,2015,2787.4243278570957
Female,2016,2858.546774079097
Female,2017,3044.222275149483
Female,2018,2989.1030817885453
Female,2019,3180.691426416635
Female,2020,3541.9756292409024
Female,2021,3777.0641304891824
Female,2022,3607.09796626905
Male,2000,3435.3104030945287
Male,2001,3483.670200794224
Male,2002,3470.684919613114
Male,2003,3590.0590150168355
Male,2004,3543.020096800843
Male,2005,3512.029228404438
Male,2006,3577.227231366218
Male,2007,3688.1307350455836
Male,2008,3375.129086975089
Male,2009,3204.2737686529613
Male,2010,3261.2729453046636
Male,2011,3244.8009549516537
Male,2012,3211.1080548865216
Male,2013,3312.3483182247423
Male,2014,3549.927154153556
Male,2015,3720.584339498481
Male,2016,3621.575277364171
Male,2017,3849.728334191245
Male,2018,4014.337922824508
Male,2019,4025.0713846643885
Male,2020,4773.569347145628
Male,2021,4826.299835349964
Male,2022,4579.281959056787
