Year,black_Female,white_Female,black_Male,white_Male
2000,75.5545668291909,44.871012382401,98.4973257056867,52.679265826574
2001,73.6154086088939,42.6116939124474,94.2049833763554,49.7185777776377
2002,71.956426593618,42.0281573598187,90.9850669981038,47.6447690095405
2003,69.3961496025841,39.3138513958752,89.271556097292,45.7432012766367
2004,66.4089397324112,37.5337982270905,84.8927581271055,42.9749200913942
2005,61.8580956803258,35.3063019843162,80.0477562225604,40.1705120602729
2006,58.5750824829691,33.5277362305758,76.9978209913449,37.6666354743587
2007,56.015237681617,32.1843410238002,77.0531118068236,36.3587241818046
2008,54.9538944586521,31.3187966389467,70.6314948928827,35.3080821498926
2009,50.7210661865994,29.789328021875,66.4939059050585,34.0044123714141
2010,49.7002781573977,29.2053459203067,65.2863189444944,33.125733130205
2011,47.3277029574294,28.7613056610893,63.0746119123722,32.4200377082332
2012,45.3943073715598,27.77630215853,61.72913753934,31.4882041555884
2013,45.2956660386593,26.9059567303753,61.7748092701025,31.4838012040998
2014,45.1565731535382,27.2134346812146,62.8333883454857,31.294549565794
2015,46.4942623331137,27.6894442409223,63.9685335613969,31.6089983050487
2016,45.8560067275403,27.1682925637458,62.6557646112815,31.8810554905491
2017,46.3368392263688,27.0978926742015,63.0996533136443,31.5241195144581
2018,45.1733387324877,26.687143335244,63.3836669159979,30.9899920944706
2019,45.5810775474478,26.3655806643494,62.7183480887715,31.2459292103135
2020,48.3163744514022,27.41949728118,69.0558618357637,32.9090260284524
2021,51.2163960100255,29.1418367695089,69.2661080881433,33.7619107143044
2022,49.1317678625793,28.650669486338,66.2232804855467,33.2973843781222
2023,46.8966748651339,27.6270418788628,64.4642717844946,31.7528487655501
