Year,black_Female,white_Female,black_Male,white_Male
1999,73.004568555504,25.6687763673855,74.347269334758,34.7350669016847
2000,72.3401573255953,26.0361443163157,74.1580398861798,34.7416136986814
2001,69.6145855406617,26.0756721227266,75.6861785809678,35.1804060380869
2002,69.8658262589023,25.8096223290534,76.0664972650494,35.6992281787994
2003,68.7177825818339,25.1410205715853,77.1401892079399,36.3101312481159
2004,64.9708989287802,24.3777548910935,76.3393452562843,35.4106814289767
2005,62.7497269923934,24.3878732664173,76.482101232942,35.1977597621987
2006,60.2579986394741,22.7871565659487,74.360614032825,34.2543086005923
2007,58.0497213095458,21.9173939453777,69.436903082078,33.0276460779034
2008,53.5209300696561,21.1940490537147,67.1782759823543,31.7315194917821
2009,50.3155835871256,19.8372951124663,64.6848080229076,30.9455135846699
2010,49.44362849806,19.3163834460353,65.1362039169554,30.3743453395803
2011,50.9818627853219,20.4270049353801,66.3315625525706,32.0255798990651
2012,48.7774969710402,19.554682800251,66.8373849952346,31.233826145228
2013,49.00732553043,19.6999273934273,65.8638187227703,31.7233848130171
2014,47.5053018256174,19.4445379771599,64.5368856554136,32.3937148408511
2015,46.2291920241316,19.9176251858173,66.6050713473061,33.0195385463844
2016,45.9541598906623,19.3759298878422,66.4008318928184,32.8068218319173
2017,45.7834028250528,19.6282383578347,68.7842810156649,33.6174217055745
2018,46.10240536668,19.2225398913698,69.3428694237372,34.0472198499843
2019,45.6917202899503,19.2448100152468,69.3714150674546,34.7820437689799
2020,55.1255762734392,21.720870166956,84.9487915655043,38.1425396465538
2021,53.9173475701433,22.8423039333307,81.3523088420587,39.7969417805564
2022,49.1083659382978,21.9603452772378,76.844285434537,38.3108586972143
