Year,Gender,Hypothetical_Excess_Deaths
1999,Female,3800.1158326954187
1999,Male,2350.9749883503046
2000,Female,3756.3586763147837
2000,Male,2326.87811825126
2001,Female,3641.3885747633863
2001,Male,2480.2687487900953
2002,Female,3766.4011076458123
2002,Male,2573.3029371290795
2003,Female,3821.019398102661
2003,Male,2655.5501011704664
2004,Female,3613.4900450013183
2004,Male,2707.902644834314
2005,Female,3509.9302797000705
2005,Male,2817.0006002594605
2006,Female,3505.666192107946
2006,Male,2825.4812548300806
2007,Female,3463.7020267541857
2007,Male,2638.076611643948
2008,Female,3156.8198672289263
2008,Male,2569.258858885461
2009,Female,3052.2214776177916
2009,Male,2592.5835599157117
2010,Female,3087.2179307665633
2010,Male,2702.4208711622086
2011,Female,3243.031277362931
2011,Male,2811.7850849404495
2012,Female,3156.8213229450453
2012,Male,2940.4196600349815
2013,Female,3277.00447204888
2013,Male,2934.3457699049136
2014,Female,3219.179479131325
2014,Male,2867.4422114564945
2015,Female,3126.1603771048794
2015,Male,3113.2917542290306
2016,Female,3281.0142871321655
2016,Male,3189.490270850045
2017,Female,3299.9194895140204
2017,Male,3459.4045647572925
2018,Female,3483.7349094596266
2018,Male,3625.9464248490767
2019,Female,3574.268892568235
2019,Male,3550.0513522354763
2020,Female,4616.730388612356
2020,Male,5018.155363369687
2021,Female,4315.032825945598
2021,Male,4596.423005120129
2022,Female,3838.2259005167075
2022,Male,4265.752685581967
