Year,Female_excess_aamr,Male_excess_aamr,Female_mrr,Male_mrr
1999,32.940699348449,42.5536576758497,3.6680757215367294,4.14569387728562
2000,33.3975060865393,41.3794123025049,3.631242671061793,3.932927500559292
2001,31.793559181305405,41.3445509255518,3.440030908318428,3.8765390330879392
2002,33.3779298356363,44.4987895017225,3.4885185972427717,3.8995010018713074
2003,33.5492779727802,44.4272447198582,3.3903104695012267,3.7298007508400732
2004,32.8484900150711,45.022164153422096,3.3491019710549024,3.7131100092440117
2005,31.710112318616197,45.566944894627895,3.225552667103567,3.7032057338227284
2006,28.3937896525092,44.4620724947695,3.027998348923966,3.663049275842957
2007,28.150169261275302,42.1728439580395,3.013652240933524,3.525246067607755
2008,29.128675252907698,41.7659422039427,3.089911727934252,3.412876239644147
2009,27.5945114904747,41.6173372066328,3.0251338709103264,3.4198719186386497
2010,25.7048066011222,39.5019527748169,2.884362450784117,3.281242801166142
2011,23.7233436471741,35.9464527677473,2.7012778482330533,3.023404356524261
2012,23.859616104082498,37.7944099091915,2.711937098520641,3.093663950569285
2013,23.754482469626303,37.9699017393434,2.6461330371421363,2.9798502817441572
2014,22.805074269047303,36.2644810767301,2.535921201646782,2.8389325141933215
2015,21.9082966068245,36.8822227148386,2.354737346667225,2.7740308726289196
2016,22.3372392434617,39.0701909987924,2.349362901046659,2.7842768901954367
2017,21.639094773716998,36.885906247128,2.1861882025773376,2.5411149306700054
2018,20.463950107699098,36.8508276364393,2.0435259069234584,2.437567028200805
2019,20.060784689905198,35.908553461443596,1.9486269578084265,2.294590876387575
2020,26.1775331621855,45.172963011900194,2.0834351044007637,2.4335990009277952
2021,22.923990769545803,42.614077876176495,1.8277266789820954,2.2223742372513677
2022,23.9822809246115,45.8194860411938,1.614428805031841,1.9728226720300288
