Gender,Race,Year,yrs_lost
Female,Black,1999,7125.8498617372625
Female,Black,2000,6911.024713939336
Female,Black,2001,6722.246600098072
Female,Black,2002,6429.648384381047
Female,Black,2003,6112.123844641438
Female,Black,2004,5825.392051417615
Female,Black,2005,5351.854915234285
Female,Black,2006,5017.845068252107
Female,Black,2007,4710.809357812168
Female,Black,2008,4524.153708404198
Female,Black,2009,4366.993705501338
Female,Black,2010,4119.266308931038
Female,Black,2011,3930.984223772736
Female,Black,2012,3745.250335243641
Female,Black,2013,3698.8220904166733
Female,Black,2014,3584.397617255497
Female,Black,2015,3467.709137215765
Female,Black,2016,3540.9260571681516
Female,Black,2017,3337.3265832975308
Female,Black,2018,3317.129667176786
Female,Black,2019,3199.4904846590907
Female,Black,2020,3460.1661615878807
Female,Black,2021,3265.0732280182306
Female,Black,2022,3064.3278005365933
Female,White,1999,4481.739075586293
Female,White,2000,4231.440830827745
Female,White,2001,4108.054013921996
Female,White,2002,3932.411948769689
Female,White,2003,3781.9473675705176
Female,White,2004,3581.572688482155
Female,White,2005,3286.785012534768
Female,White,2006,3115.770686694514
Female,White,2007,2913.7147426886027
Female,White,2008,2895.0739921616505
Female,White,2009,2753.2267180694384
Female,White,2010,2614.395846967355
Female,White,2011,2519.7265018978696
Female,White,2012,2460.341134582533
Female,White,2013,2370.5235844026706
Female,White,2014,2335.184311035324
Female,White,2015,2314.8246495121084
Female,White,2016,2255.6319202944705
Female,White,2017,2201.0442673655684
Female,White,2018,2159.618403770624
Female,White,2019,2100.8132716659147
Female,White,2020,2085.580696870692
Female,White,2021,2113.1121004495953
Female,White,2022,2063.445205759309
Male,Black,1999,10027.702575191877
Male,Black,2000,9766.439378369914
Male,Black,2001,9581.535656870945
Male,Black,2002,9243.501142734924
Male,Black,2003,9167.95304857862
Male,Black,2004,8534.850368721482
Male,Black,2005,8049.099517165586
Male,Black,2006,7908.8968782558495
Male,Black,2007,7385.638709452265
Male,Black,2008,7143.386944054001
Male,Black,2009,6879.284554882937
Male,Black,2010,6599.129688905532
Male,Black,2011,6380.2935215071475
Male,Black,2012,6256.846481758023
Male,Black,2013,6088.398439460351
Male,Black,2014,5938.934680986523
Male,Black,2015,5837.962302264534
Male,Black,2016,5898.698758917463
Male,Black,2017,5822.281001642182
Male,Black,2018,5840.239107416405
Male,Black,2019,5605.5280732535275
Male,Black,2020,6131.651057376917
Male,Black,2021,5682.405111118751
Male,Black,2022,5494.15460492573
Male,White,1999,7817.320878449429
Male,White,2000,7530.833787455318
Male,White,2001,7195.518432448397
Male,White,2002,7004.484844811284
Male,White,2003,6740.870421620182
Male,White,2004,6396.9963981636765
Male,White,2005,5941.969586727805
Male,White,2006,5742.464887530006
Male,White,2007,5446.788999568429
Male,White,2008,5354.038657901174
Male,White,2009,5162.819361518491
Male,White,2010,5023.91708198785
Male,White,2011,4896.7635981515205
Male,White,2012,4762.995367606694
Male,White,2013,4698.446342188567
Male,White,2014,4621.107679153012
Male,White,2015,4531.521729833186
Male,White,2016,4522.017112651629
Male,White,2017,4457.726112469809
Male,White,2018,4409.975766682158
Male,White,2019,4286.6502431040635
Male,White,2020,4331.332668227711
Male,White,2021,4198.533540328852
Male,White,2022,4063.6977795461275
