Gender,agegroup,Year,expected_deaths_black,hypothetical_excess,expected_rate_black
Female,50-54 years,2014,514.3642199865031,341.63578001349686,34.90663115949132
Female,50-54 years,2015,502.08022928115327,346.9197707188467,34.210902354461886
Female,50-54 years,2016,481.5922919916268,389.40770800837316,33.18655206407166
Female,50-54 years,2017,472.8929617347511,315.1070382652489,33.01926245884758
Female,50-54 years,2018,453.1158498678772,366.8841501321227,32.25691939525391
Female,50-54 years,2019,403.6085154704755,319.3914845295246,29.305796592617757
Female,50-54 years,2020,443.2389746582535,342.7610253417465,32.34841659653741
Female,50-54 years,2021,454.42107467026153,336.5789253297386,32.80857507864318
Female,50-54 years,2022,424.4593791018561,324.54062089814386,30.74671906557654
Female,55-59 years,1999,558.5802971754531,699.419702824547,79.39183329336404
Female,55-59 years,2000,559.4133272284024,654.5866727715977,77.5125261676002
Female,55-59 years,2001,549.7190406875947,740.2809593124055,73.38794950565905
Female,55-59 years,2002,556.5911938074127,742.4088061925873,69.64136429758987
Female,55-59 years,2003,564.688947330101,728.3110526698991,66.69032000997964
Female,55-59 years,2004,551.6947450473176,758.3052549526823,60.86510974439252
Female,55-59 years,2005,570.5461607152778,765.4538392847222,58.45053166884309
Female,55-59 years,2006,600.4054358565461,721.5945641434538,57.3830211119194
Female,55-59 years,2007,595.0503015949153,677.9496984050847,54.82005356202712
Female,55-59 years,2008,598.1892013126619,718.8107986873381,53.22919857667269
Female,55-59 years,2009,610.1266990994347,669.8733009005653,52.39518194093582
Female,55-59 years,2010,612.0950425573036,647.9049574426963,51.26136494495733
Female,55-59 years,2011,626.3614740102921,655.6385259897078,50.40282688495492
Female,55-59 years,2012,670.905482042813,613.0945179571869,51.92489580996162
Female,55-59 years,2013,664.1641497415214,673.8358502584787,49.90957251004305
Female,55-59 years,2014,714.4400873936896,584.5599126063104,52.364830413411916
Female,55-59 years,2015,734.8025134059282,616.1974865940717,52.63677336579268
Female,55-59 years,2016,767.4378151669188,563.5621848330813,54.33257309947445
Female,55-59 years,2017,767.8694794592391,554.1305205407609,54.029580556405
Female,55-59 years,2018,731.7602850816683,572.2397149183317,51.30310401898474
Female,55-59 years,2019,736.6614288921622,506.33857110783794,51.55155627735603
Female,55-59 years,2020,778.5510077143969,611.448992285603,54.76343939096613
Female,55-59 years,2021,788.7093779319855,629.2906220680146,55.64468100688269
Female,55-59 years,2022,764.3232355753919,437.6767644246081,55.22482936136026
Female,60-64 years,1999,892.6319546480066,820.3680453519936,152.36397310733997
Female,60-64 years,2000,838.9887741118358,980.0112258881643,140.73474485604032
Female,60-64 years,2001,811.3490441663345,932.6509558336658,132.80317480187685
Female,60-64 years,2002,793.0770048572736,869.9229951427268,126.02586773133727
Female,60-64 years,2003,791.584792041573,920.4152079584269,121.05445904340871
Female,60-64 years,2004,768.7385777038729,785.2614222961271,113.35217443354374
Female,60-64 years,2005,770.0068183883222,840.9931816116778,110.19807117706559
Female,60-64 years,2006,760.2505062390115,705.7494937609885,105.53259830578983
Female,60-64 years,2007,738.7636426802318,752.2363573197681,96.09721055667475
Female,60-64 years,2008,787.5606058552708,743.4393941447292,96.6119840986177
Female,60-64 years,2009,777.7988471932699,737.2011528067301,89.04567658366219
Female,60-64 years,2010,799.0087063940587,728.9912936059417,86.15364363338612
Female,60-64 years,2011,854.1734326087228,677.8265673912773,84.86546315398193
Female,60-64 years,2012,859.7602020120072,771.2397979879926,82.65049488885283
Female,60-64 years,2013,865.8593675248892,699.140632475111,80.54213545042451
Female,60-64 years,2014,896.9499951573017,709.0500048426982,80.4578725427183
Female,60-64 years,2015,946.2271070629508,768.7728929370492,82.01972396177644
Female,60-64 years,2016,963.7676922639423,814.2323077360575,80.98575116121077
Female,60-64 years,2017,1004.4270516206789,809.5729483793212,81.02557444977492
Female,60-64 years,2018,1010.8892690875326,858.1107309124673,79.42584530515379
Female,60-64 years,2019,1037.2116141241568,764.7883858758431,79.66515311668807
