age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
55-59,5.507802052818186,20.492999846069218,10.025350859871784,33.5731835524628
60-64,10.636145151036747,32.42677806034091,18.281961947148186,54.17993989728407
65-69,20.330985506488798,49.79990056735002,32.601487549620686,80.15330444408123
70-74,43.02217590965119,83.54771146852441,62.11433903763772,120.13894438384683
75-79,92.46932646974074,143.6865810640398,123.57986206243748,195.8952671423472
80-84,213.74110509588098,267.0284424313374,264.32903115118273,318.84076530320954
