Gender,agegroup,Year,expected_deaths_black,hypothetical_excess,expected_rate_black
Female,55-59 years,1999,35.0190449903395,134.9809550096605,4.977308000343887
Female,55-59 years,2000,34.49074343831744,113.50925656168256,4.779050700397452
Female,55-59 years,2001,39.76292135514262,110.23707864485736,5.308383098680161
Female,55-59 years,2002,38.50382103571772,115.4961789642823,4.817644722789918
Female,55-59 years,2003,42.89801367677308,122.10198632322694,5.066297602287035
Female,55-59 years,2004,44.46246878237232,111.53753121762767,4.905272464963596
Female,55-59 years,2005,49.662347155807076,118.3376528441929,5.087740125251975
Female,55-59 years,2006,51.337955660328305,161.66204433967172,4.906562828327335
Female,55-59 years,2007,48.68175865890996,149.31824134109004,4.48489247047199
Female,55-59 years,2008,48.53144527791813,148.46855472208188,4.318516503210817
Female,55-59 years,2009,51.91889947961778,142.0811005203822,4.458582436112001
Female,55-59 years,2010,54.51923789462059,138.48076210537943,4.565844118849326
Female,55-59 years,2011,57.210194825855005,150.78980517414502,4.603660450889628
Female,55-59 years,2012,54.59690143433775,165.40309856566225,4.225540697465673
Female,55-59 years,2013,68.32473679998719,183.67526320001278,5.134360845697092
Female,55-59 years,2014,68.00050491015888,183.9994950898411,4.984091697089597
Female,55-59 years,2015,76.06908258956157,187.93091741043838,5.449125428070718
Female,55-59 years,2016,80.85824998961475,216.1417500103852,5.724550825399173
Female,55-59 years,2017,86.81211238919495,244.18788761080503,6.108358445118635
Female,55-59 years,2018,95.2543660701667,246.74563392983333,6.678204256759869
Female,55-59 years,2019,98.57133340047757,282.42866659952244,6.898020504169237
Female,55-59 years,2020,103.04351572690547,258.9564842730945,7.248102272333752
Female,55-59 years,2021,116.07411095242371,215.9258890475763,8.337130120015637
Female,55-59 years,2022,119.8675530803576,243.13244691964235,8.456598855429744
Female,60-64 years,1999,60.339851339302186,109.6601486606978,10.299451458006194
Female,60-64 years,2000,67.95715058437473,101.04284941562528,11.399356634729694
Female,60-64 years,2001,70.97794681064842,145.0220531893516,11.617807089497745
Female,60-64 years,2002,69.6243182871673,104.37568171283272,11.063824916878247
Female,60-64 years,2003,66.44689860202985,134.55310139797018,10.161505686125547
Female,60-64 years,2004,68.5975560721934,118.4024439278066,10.114858766207707
Female,60-64 years,2005,70.83538022652368,147.16461977347632,10.137471624466
Female,60-64 years,2006,77.33377606500119,120.66622393499883,10.734927840182065
Female,60-64 years,2007,74.96967198446326,133.03032801553672,9.751936800677353
Female,60-64 years,2008,67.08307340731054,148.9169265926895,8.229244547186635
Female,60-64 years,2009,72.28664619909343,155.7133538009066,8.275678656492849
Female,60-64 years,2010,76.72275645767375,135.27724354232623,8.272682094111723
Female,60-64 years,2011,83.54162457440043,142.4583754255996,8.300186345634382
Female,60-64 years,2012,86.80488630305278,187.1951136969472,8.344730071162004
Female,60-64 years,2013,94.32287876917624,235.67712123082376,8.773902971815557
Female,60-64 years,2014,104.35864671183604,237.641353288164,9.361140243274042
Female,60-64 years,2015,112.97996276652611,247.0200372334739,9.79319371655431
Female,60-64 years,2016,135.52983172461688,278.4701682753831,11.388621257045264
Female,60-64 years,2017,129.07899672297458,330.9210032770254,10.412602729092317
Female,60-64 years,2018,149.18075756919566,320.8192424308043,11.721172768894633
Female,60-64 years,2019,170.1782631783178,309.82173682168224,13.070888532887068
Female,60-64 years,2020,178.47322773845832,364.5267722615418,13.425974750751578
Female,60-64 years,2021,191.26915107131447,388.7308489286856,14.477759171078148
Female,60-64 years,2022,194.05474755771317,370.94525244228686,14.442078861102912
Female,65-69 years,1999,110.35387976675673,139.64612023324327,21.724872532882785
Female,65-69 years,2000,111.97294927217533,149.02705072782467,22.01466083769807
Female,65-69 years,2001,116.19410094436172,143.8058990556383,22.245172809804018
Female,65-69 years,2002,112.5982190243158,137.40178097568423,21.243704429423143
Female,65-69 years,2003,112.69036388590226,157.30963611409774,20.886881265609
Female,65-69 years,2004,117.48976813651694,105.51023186348303,21.414143338986605
Female,65-69 years,2005,112.72441782243774,169.27558217756223,20.065973348909917
Female,65-69 years,2006,110.56943909804414,141.43056090195586,19.247041054535732
Female,65-69 years,2007,107.73635273788743,166.26364726211258,18.17620290044378
Female,65-69 years,2008,105.09916598905589,144.9008340109441,17.024905153687985
Female,65-69 years,2009,102.18227838822528,158.8177216117747,15.92909518711753
Female,65-69 years,2010,108.89336781038382,133.1066321896162,16.56014219327788
Female,65-69 years,2011,110.42127209506654,160.57872790493346,16.221652041355267
Female,65-69 years,2012,116.56107551357556,197.43892448642444,15.984525146812663
Female,65-69 years,2013,133.16338159061849,193.83661840938154,17.189203140166477
Female,65-69 years,2014,146.67572380898412,200.32427619101588,17.70317041898211
Female,65-69 years,2015,170.86719508343657,202.1328049165634,19.297498871566987
Female,65-69 years,2016,182.2844815221817,276.7155184778183,19.2687689899876
Female,65-69 years,2017,199.62897480960217,311.3710251903978,20.402614631498267
Female,65-69 years,2018,210.53987861021852,323.4601213897815,20.895578480560722
Female,65-69 years,2019,230.39063862605454,358.60936137394555,22.09001073154604
Female,65-69 years,2020,267.72294184655186,470.2770581534482,24.847068756217205
Female,65-69 years,2021,284.93836078774007,431.0616392122599,26.185360851469323
Female,65-69 years,2022,301.11481855226396,382.88518144773593,27.222470003622007
Female,70-74 years,1999,191.61780223247953,225.38219776752047,44.02426215264145
Female,70-74 years,2000,192.98781354217832,222.0121864578217,43.782654971387096
Female,70-74 years,2001,190.56075652189497,195.43924347810506,43.235369668633375
Female,70-74 years,2002,197.656836461126,185.34316353887397,44.68275245755139
Female,70-74 years,2003,188.35776279520707,187.64223720479293,42.14980023478655
Female,70-74 years,2004,192.71320231356557,181.28679768643445,42.74906273800758
Female,70-74 years,2005,203.20952930022395,163.79047069977605,44.50356960150673
Female,70-74 years,2006,202.56691566439065,156.4330843356093,43.4074442563366
Female,70-74 years,2007,182.37450730531393,162.62549269468605,38.573533103068314
Female,70-74 years,2008,171.33459918213993,185.66540081786007,35.658826468811576
Female,70-74 years,2009,181.34521112569288,183.65478887430712,37.167606274429176
Female,70-74 years,2010,172.25455588993123,158.74544411006875,34.68231156071936
Female,70-74 years,2011,177.85320662463465,177.14679337536532,34.47743094453754
Female,70-74 years,2012,189.7661180076804,163.2338819923196,35.699513325309304
Female,70-74 years,2013,214.5827210460772,209.41727895392285,38.55559766816467
Female,70-74 years,2014,211.88381726887846,224.11618273112157,36.46392003635974
Female,70-74 years,2015,248.36110956734376,284.6388904326563,41.15543407509951
Female,70-74 years,2016,264.1322716875868,252.86772831241316,42.476536500686976
Female,70-74 years,2017,301.4578627720133,263.5421372279867,45.11174203131676
Female,70-74 years,2018,329.0697525339467,281.93024746605323,46.459879672385625
Female,70-74 years,2019,365.7307030746076,277.2692969253923,48.376693184261455
Female,70-74 years,2020,392.7304614523591,406.2695385476409,48.67537658859534
Female,70-74 years,2021,433.04310198157,377.95689801842997,51.767461947119955
Female,70-74 years,2022,452.4861005672605,349.51389943273955,53.250887118451324
Female,75-79 years,1999,332.9896150826902,255.0103849173098,96.97126156343813
Female,75-79 years,2000,330.22805793317565,208.77194206682432,95.8950581167531
Female,75-79 years,2001,338.47326673785807,184.52673326214182,95.43248759783184
Female,75-79 years,2002,324.87169409808445,200.1283059019156,90.3397543729431
Female,75-79 years,2003,338.94294404477625,212.05705595522366,93.2655720686639
Female,75-79 years,2004,334.75530075194274,180.24469924805732,91.66556243070569
Female,75-79 years,2005,347.0660540036685,189.9339459963315,94.11935262647926
Female,75-79 years,2006,336.62189795507504,157.37810204492501,91.59804460830506
Female,75-79 years,2007,316.67438459464535,184.32561540535465,85.98926461817497
Female,75-79 years,2008,309.2917910696316,167.70820893036841,83.20625396999104
Female,75-79 years,2009,287.8866105422728,165.11338945772718,76.85522582238724
Female,75-79 years,2010,302.94271996437163,156.0572800356284,80.12725449164367
Female,75-79 years,2011,303.6862370963318,151.31376290366816,77.24083269653985
Female,75-79 years,2012,312.33180423851934,146.66819576148063,78.17989412834899
Female,75-79 years,2013,312.82275589370096,209.17724410629907,76.43600438197164
Female,75-79 years,2014,341.42990078486235,210.57009921513767,81.24911375899215
Female,75-79 years,2015,382.78020958479675,180.21979041520328,88.29463736541679
Female,75-79 years,2016,402.7836434355579,229.21635656444204,90.32076462626986
Female,75-79 years,2017,425.80685347275676,300.1931465272433,91.71791776381546
Female,75-79 years,2018,476.47772741325133,216.52227258674867,97.9449565575315
Female,75-79 years,2019,506.9414961807009,303.058503819299,99.74961260034176
Female,75-79 years,2020,541.9464542386058,307.0535457613942,102.94298906808505
Female,75-79 years,2021,586.9308590887118,291.0691409112883,114.5152739010432
Female,75-79 years,2022,655.1756226219511,239.824377378049,125.82013170546222
Female,80-84 years,1999,515.75012573978,150.24987426022005,226.42467544989898
Female,80-84 years,2000,504.65690498249194,120.34309501750808,218.0376683844271
Female,80-84 years,2001,529.3753641377563,96.62463586224374,222.51263687549653
Female,80-84 years,2002,523.1553760935161,172.84462390648397,214.51431902439984
Female,80-84 years,2003,549.7761215703605,130.2238784296395,220.22404767202914
Female,80-84 years,2004,546.5030101232476,144.49698987675242,214.49996472378035
Female,80-84 years,2005,556.6194945848375,223.38050541516253,215.10866919595517
Female,80-84 years,2006,570.8494846756518,126.15051532434823,215.79110928322274
Female,80-84 years,2007,532.3770501429747,135.62294985702533,198.00463796503703
Female,80-84 years,2008,510.2360820054667,186.76391799453341,187.39457762275705
