Year,Female_excess_aamr,Male_excess_aamr,Female_mrr,Male_mrr
2000,164.77325675728002,194.76314639044693,1.7458035024256775,1.5076499250169886
2001,159.441301813554,199.55736613421902,1.7469244402695623,1.5464846650274147
2002,155.872757887153,192.90525749198304,1.7493335673059889,1.542065617879367
2003,151.78169878292002,200.68804144965804,1.7611419483760946,1.5869003278380613
2004,144.323465199831,188.187746424083,1.7670438670946633,1.5873383748794498
2005,137.572465825993,188.2054106352,1.7571646481480232,1.609121743792961
2006,127.27308904430998,185.924905615211,1.741050420361166,1.6319685651498272
2007,120.94067477789596,178.047993180653,1.7390797314892545,1.6338840250666413
2008,118.36863581605101,167.12172604526103,1.7398168190819063,1.6091917266625544
2009,111.92550928010098,157.83729736116305,1.7358771363022767,1.5984525832343348
2010,107.203322801318,152.912295612947,1.7230260688708152,1.5917089990416742
2011,98.557672982546,142.03284422960704,1.6776620383222371,1.5606696262577135
2012,95.11755729574801,145.70832335855798,1.6674734671150844,1.5884052804563238
2013,99.134511262789,145.570431926275,1.7047952488129885,1.5857909249058064
2014,95.85619151773301,142.76930230368703,1.6839640004145855,1.5780203164518558
2015,92.65276137334502,145.18364985290998,1.6483049773619247,1.5862680386467256
2016,98.83183782752602,146.53154836643697,1.7050919081122211,1.5929425406943465
2017,94.13650457885802,146.346395241601,1.6733779498447816,1.595057041649093
2018,95.851201427635,155.29572457253303,1.6976581296540414,1.6370589835121394
2019,93.84681387071299,150.087673829582,1.6901441742071692,1.6206409876094992
2020,113.05042483978099,186.690094067667,1.801613496015004,1.7352991645750229
2021,104.32935282879299,169.75585899737104,1.7035464842875714,1.6552509952549441
2022,95.75175995396799,159.614520770186,1.6545129140787864,1.6286752116053147
