Gender,agegroup,Year,expected_deaths_black,hypothetical_excess,expected_rate_black
Female,20-24 years,2000,39.91548519545402,78.08451480454598,2.9313217038144552
Female,20-24 years,2001,37.723332829066116,81.27666717093388,2.656063967258815
Female,20-24 years,2002,33.3659063555937,65.63409364440629,2.296767978396147
Female,20-24 years,2003,47.29299876260258,77.70700123739744,3.2075945626005966
Female,20-24 years,2004,41.454763750937495,47.54523624906249,2.7936397077789374
Female,20-24 years,2005,36.52189890204027,61.478101097959716,2.4625411740856147
Female,20-24 years,2006,42.96648331594621,63.03351668405378,2.888543859506333
Female,20-24 years,2007,48.69292094685843,43.30707905314157,3.2504745212435324
Female,20-24 years,2008,36.33225260410609,71.6677473958939,2.390449624322392
Female,20-24 years,2009,40.81056012010442,63.18943987989558,2.6260033254168937
Female,20-24 years,2010,31.243520747350303,81.7564792526497,1.9676880033901827
Female,20-24 years,2011,35.324698035084765,59.675301964915235,2.113711028255742
Female,20-24 years,2012,41.5162083781655,47.4837916218345,2.3976658957570085
Female,20-24 years,2013,40.901907365086025,40.098092634913975,2.3106620707021728
Female,20-24 years,2014,44.733922908210054,62.26607709178995,2.504781675778206
Female,20-24 years,2015,40.99130789052016,60.00869210947983,2.3262099078126246
Female,20-24 years,2016,39.370812076792966,59.629187923207034,2.2961441132729186
Female,20-24 years,2017,36.447208414534664,54.552791585465336,2.1724793681823726
Female,20-24 years,2018,37.28105785211931,46.71894214788068,2.2685901582077252
Female,20-24 years,2019,42.08993342655721,56.9100665734428,2.6058506005450197
Female,20-24 years,2020,40.508000942205605,45.4919990577944,2.515092288276062
Female,20-24 years,2021,33.93681024399898,73.06318975600102,2.1116537809248204
Female,20-24 years,2022,36.740801816635454,61.25919818336455,2.178621854090991
Female,20-24 years,2023,33.49438751406588,43.50561248593412,2.0883831842684026
Female,25-29 years,2000,61.62539211084395,126.37460788915607,4.581449067683384
Female,25-29 years,2001,64.70530802989052,121.2946919701095,4.959633126856588
Female,25-29 years,2002,58.033325311258864,126.96667468874114,4.485716197992393
Female,25-29 years,2003,63.419995217647774,119.58000478235226,4.896302543780512
Female,25-29 years,2004,60.96081818579417,141.03918181420585,4.6019174538960765
Female,25-29 years,2005,58.42730786152934,134.57269213847064,4.286153966912957
Female,25-29 years,2006,61.35530715068002,108.64469284931997,4.363422615201462
Female,25-29 years,2007,68.30432670467745,120.69567329532252,4.761061217560961
Female,25-29 years,2008,64.39436699869745,161.60563300130255,4.426140363449354
Female,25-29 years,2009,57.29771015674679,129.7022898432532,3.9257779179354095
Female,25-29 years,2010,60.076217633238926,106.92378236676107,4.130246932076874
Female,25-29 years,2011,62.90899602975144,112.09100397024856,4.292160594577194
Female,25-29 years,2012,66.29846650436022,102.70153349563978,4.4714445800764695
Female,25-29 years,2013,67.63740625540088,99.36259374459912,4.477738632463186
Female,25-29 years,2014,66.70581951902686,98.29418048097314,4.24589002634048
Female,25-29 years,2015,84.15358635061749,103.84641364938251,5.13289053597643
Female,25-29 years,2016,77.66576944292953,104.33423055707047,4.547322627071102
Female,25-29 years,2017,83.90684877518495,108.09315122481503,4.7318702826249615
Female,25-29 years,2018,88.58746398604262,109.41253601395738,4.891459605295154
Female,25-29 years,2019,87.01864745817443,86.98135254182557,4.786746494221624
Female,25-29 years,2020,84.10409821212757,128.89590178787242,4.699083260352709
Female,25-29 years,2021,88.69566644014498,101.30433355985502,5.163362114913123
Female,25-29 years,2022,79.55751067066728,108.44248932933273,4.754257701897477
Female,25-29 years,2023,67.41797402280086,116.58202597719914,4.083655922133261
Female,30-34 years,2000,100.81051048427878,245.18948951572125,7.279304847185108
Female,30-34 years,2001,115.91805343391529,226.08194656608467,8.348581713613724
Female,30-34 years,2002,109.67029448421921,245.32970551578077,7.870375223937245
Female,30-34 years,2003,113.84336691625602,239.15663308374397,8.201711683221571
Female,30-34 years,2004,113.01762464862261,227.98237535137736,8.209940080315752
Female,30-34 years,2005,112.0023992804671,217.9976007195329,8.290707373202425
Female,30-34 years,2006,103.16063730290747,226.83936269709253,7.812826353729471
Female,30-34 years,2007,102.79874069512235,201.20125930487768,7.827072920213309
Female,30-34 years,2008,105.76253547154957,209.2374645284504,8.010850706162707
Female,30-34 years,2009,104.42504313146513,212.57495686853483,7.717985847209082
Female,30-34 years,2010,121.32999338403047,180.6700066159695,8.761502921995719
Female,30-34 years,2011,118.86947586204118,218.13052413795884,8.343579539998483
Female,30-34 years,2012,119.90655035282327,143.0934496471767,8.268521984366057
Female,30-34 years,2013,110.00632250019758,203.9936774998024,7.480324307834209
Female,30-34 years,2014,122.92919047247028,196.0708095275297,8.280513449942763
Female,30-34 years,2015,131.08886435575712,190.9111356442429,8.811346183963542
Female,30-34 years,2016,125.73113922133618,199.26886077866382,8.390393624969297
Female,30-34 years,2017,141.4794052109157,191.52059478908427,9.308651740669642
Female,30-34 years,2018,137.55715140893807,214.44284859106193,8.879828145618903
Female,30-34 years,2019,132.347928171996,239.652071828004,8.256898574999578
Female,30-34 years,2020,157.43975099161062,259.56024900838935,9.429269050316503
Female,30-34 years,2021,175.52937230489368,257.4706276951063,10.160095871228222
Female,30-34 years,2022,145.12774848284806,286.8722515171519,8.214269861196216
Female,30-34 years,2023,138.64827735279775,240.35172264720228,7.646644912356048
Female,35-39 years,2000,214.8969276830378,451.10307231696225,14.27505262269067
Female,35-39 years,2001,223.21841252518743,397.78158747481257,14.962905012507436
Female,35-39 years,2002,230.43220617341711,411.56779382658294,15.700214565052221
Female,35-39 years,2003,210.6103453135372,434.38965468646273,14.617151149849477
Female,35-39 years,2004,216.57273138545997,322.42726861454,15.37810193467957
Female,35-39 years,2005,202.89051247266428,369.10948752733583,14.523383990220722
Female,35-39 years,2006,192.3761671036512,378.62383289634886,13.686808387527753
Female,35-39 years,2007,199.74443230228636,341.2555676977137,14.128995296259962
Female,35-39 years,2008,200.21366226516398,312.786337734836,14.176666760970516
Female,35-39 years,2009,201.2551974537681,281.7448025462319,14.34456117850931
Female,35-39 years,2010,192.91545535061965,333.0845446493803,13.937457354769794
Female,35-39 years,2011,192.22103613361548,348.7789638663846,14.29567206354374
Female,35-39 years,2012,199.64978967080756,327.3502103291924,14.915712105221257
Female,35-39 years,2013,187.87119014801942,310.1288098519806,13.977065626993891
Female,35-39 years,2014,199.01325438047067,322.98674561952936,14.480894814618376
Female,35-39 years,2015,218.07192277872355,304.9280772212765,15.427525001589894
Female,35-39 years,2016,235.38959124168642,315.6104087583136,16.287062922576737
Female,35-39 years,2017,230.16237854259367,353.83762145740627,15.60268465240686
Female,35-39 years,2018,232.3719620808351,369.6280379191649,15.55078520066782
Female,35-39 years,2019,221.23133106812372,373.7686689318763,14.736533905755742
Female,35-39 years,2020,247.08573440003713,405.9142655999629,16.439590789574204
Female,35-39 years,2021,259.50451890325564,405.4954810967444,16.979735179845022
Female,35-39 years,2022,250.94046426983996,427.0595357301601,16.363765045998303
Female,35-39 years,2023,221.11182991782096,406.888170082179,14.043465083616132
Female,40-44 years,2000,367.2975174884049,856.702482511595,25.47107716328124
Female,40-44 years,2001,375.1481737085415,925.8518262914585,25.425224718233157
Female,40-44 years,2002,403.56505365026686,812.4349463497332,27.13648045481525
Female,40-44 years,2003,422.00651129151487,868.9934887084851,28.154996286634447
Female,40-44 years,2004,398.1251423988438,867.8748576011562,26.363092570847996
Female,40-44 years,2005,400.61998374131304,758.3800162586867,26.59931411859894
Female,40-44 years,2006,401.3862428579544,722.6137571420455,26.855296432549306
Female,40-44 years,2007,389.00959562576963,585.9904043742303,26.433549504996066
Female,40-44 years,2008,383.74571524770676,673.2542847522931,26.530266636319165
Female,40-44 years,2009,368.82663991356236,595.1733600864377,26.07777941358664
Female,40-44 years,2010,352.71885409816747,584.2811459018326,25.11324951055401
Female,40-44 years,2011,362.1754948207543,483.8245051792457,25.683454808793833
Female,40-44 years,2012,369.93939036489087,456.060609635109,26.128135739179474
Female,40-44 years,2013,361.7782400048008,500.22175999519936,25.613489166697402
Female,40-44 years,2014,376.87195596935885,513.1280440306411,26.794410363174023
Female,40-44 years,2015,362.88795784886275,519.1120421511373,26.170326800909447
Female,40-44 years,2016,367.73556155095105,481.264438449049,27.18855673932644
Female,40-44 years,2017,361.33522119020563,500.6647788097943,26.736518256842796
Female,40-44 years,2018,362.63990364525813,491.3600963547419,26.765206082344374
Female,40-44 years,2019,351.14125675033983,572.8587432496604,25.479933499479348
Female,40-44 years,2020,399.9352258886785,754.0647741113214,28.276603110978083
Female,40-44 years,2021,429.55551527239504,708.444484727605,29.43826543458114
Female,40-44 years,2022,430.8268195556146,744.1731804443854,29.2603540469627
Female,40-44 years,2023,394.6443811479805,707.3556188520195,26.224884067814237
Female,45-49 years,2000,494.21196153231637,1335.7880384676837,40.3136888279716
Female,45-49 years,2001,527.692154802585,1253.307845197415,41.471212939225346
Female,45-49 years,2002,571.7547198739336,1324.2452801260665,43.279472178279946
Female,45-49 years,2003,604.2727475272931,1312.7272524727068,44.30970733062802
Female,45-49 years,2004,622.0448378097391,1293.9551621902613,44.474851199428805
Female,45-49 years,2005,644.2001374425382,1233.799862557462,44.858515870213814
Female,45-49 years,2006,648.0441280556216,1212.9558719443783,44.34239357733366
Female,45-49 years,2007,648.3142173053704,1148.6857826946293,43.99735446888563
Female,45-49 years,2008,673.8232519637157,1161.1767480362844,45.35160427707243
